index,customerID,tenure,MonthlyCharges,TotalCharges,ChurnID,gender,SeniorCitizen,Partner,Dependents,Contract,PaperlessBilling,PaymentMethod,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
37,0060-FUALY,59,94.75,5597.65,1,Female,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
38,0064-SUDOG,12,20.3,224.5,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
39,0064-YIJGF,27,75.75,1929,1,Male,0,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,No,No,No,No,No
40,0067-DKWBL,2,49.25,91.1,2,Male,1,No,No,Month-to-month,Yes,Electronic check,Yes,No,DSL,Yes,No,No,No,No,No
41,0068-FIGTF,27,78.2,2078.95,1,Female,0,No,No,One year,No,Mailed check,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
42,0071-NDAFP,25,25.5,630.6,1,Male,0,Yes,Yes,Two year,No,Credit card (automatic),Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
43,0074-HDKDG,25,61.6,1611,1,Male,0,Yes,Yes,One year,Yes,Bank transfer (automatic),Yes,No,DSL,Yes,Yes,Yes,No,No,No
44,0076-LVEPS,29,45,1242.45,1,Male,0,No,Yes,Month-to-month,Yes,Mailed check,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
45,0078-XZMHT,72,85.15,6316.2,1,Male,0,Yes,No,Two year,Yes,Bank transfer (automatic),Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
46,0080-EMYVY,14,51.45,727.85,1,Female,0,No,No,One year,No,Credit card (automatic),Yes,No,DSL,No,Yes,No,No,No,No
47,0080-OROZO,35,99.25,3532,1,Female,0,No,No,One year,Yes,Electronic check,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
48,0082-LDZUE,1,44.3,44.3,1,Male,0,No,No,Month-to-month,Yes,Mailed check,Yes,No,DSL,No,No,No,No,No,No
49,0082-OQIQY,29,94.2,2607.6,1,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
50,0083-PIVIK,64,81.25,5567.55,1,Male,0,No,No,One year,No,Electronic check,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
51,0089-IIQKO,39,99.95,3767.4,1,Female,0,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
52,0093-EXYQL,40,91.55,3673.6,1,Female,1,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
53,0093-XWZFY,40,104.5,4036.85,2,Male,0,No,No,Month-to-month,Yes,Credit card (automatic),Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
54,0094-OIFMO,11,95,1120.3,2,Female,1,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
55,0096-BXERS,6,50.35,314.55,1,Female,0,Yes,No,Month-to-month,No,Electronic check,Yes,Yes,DSL,No,No,No,No,No,No
56,0096-FCPUF,30,64.5,1888.45,1,Male,0,No,No,Month-to-month,Yes,Mailed check,Yes,Yes,DSL,Yes,No,No,No,No,Yes
57,0098-BOWSO,27,19.4,529.8,1,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
58,0100-DUVFC,70,104.8,7308.95,1,Male,1,Yes,No,One year,Yes,Electronic check,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
59,0103-CSITQ,57,109.4,6252.7,1,Female,0,Yes,No,One year,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
60,0104-PPXDV,58,50.3,2878.55,1,Male,0,Yes,No,One year,No,Credit card (automatic),Yes,No,DSL,No,No,Yes,No,No,No
61,0106-GHRQR,16,71.4,1212.1,1,Male,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
62,0106-UGRDO,69,116,8182.85,1,Female,0,Yes,No,Two year,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
63,0107-WESLM,1,19.85,19.85,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
64,0107-YHINA,1,99.75,99.75,2,Male,0,No,Yes,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
65,0111-KLBQG,32,93.95,2861.45,1,Male,1,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
66,0112-QAWRZ,16,90.8,1442.2,1,Male,0,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
67,0112-QWPNC,49,84.35,4059.35,2,Male,0,Yes,No,One year,No,Electronic check,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
68,0114-IGABW,71,58.25,4145.9,1,Female,0,Yes,No,Two year,No,Bank transfer (automatic),No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
69,0114-PEGZZ,33,107.55,3645.5,1,Female,0,No,No,Month-to-month,No,Electronic check,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
70,0114-RSRRW,10,19.95,187.75,1,Female,0,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
71,0115-TFERT,21,111.2,2317.1,2,Male,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
72,0117-LFRMW,37,40.2,1448.8,2,Male,0,Yes,Yes,Month-to-month,No,Bank transfer (automatic),No,No phone service,DSL,Yes,Yes,Yes,No,No,No
73,0118-JPNOY,26,85.8,2193.65,1,Female,1,No,No,Month-to-month,Yes,Credit card (automatic),Yes,No,Fiber optic,Yes,No,No,No,Yes,No
74,0121-SNYRK,50,35.4,1748.9,1,Male,0,No,No,One year,Yes,Mailed check,No,No phone service,DSL,Yes,No,No,Yes,No,No
75,0122-OAHPZ,7,73.85,511.25,2,Female,0,No,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,No,No
76,0123-CRBRT,61,88.1,5526.75,1,Female,0,Yes,Yes,Two year,No,Mailed check,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
77,0125-LZQXK,15,101.35,1553.95,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
78,0128-MKWSG,26,45.8,1147,1,Female,0,No,Yes,Month-to-month,No,Mailed check,No,No phone service,DSL,Yes,No,No,Yes,No,Yes
79,0129-KPTWJ,72,94.65,6747.35,1,Male,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
80,0129-QMPDR,44,20.5,865.05,1,Male,0,Yes,Yes,One year,Yes,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
81,0130-SXOUN,66,89.4,5976.9,1,Male,0,No,No,Month-to-month,No,Credit card (automatic),Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
82,0133-BMFZO,2,86.25,181.65,2,Female,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
83,0134-XWXCE,44,74.85,3268.05,1,Female,1,No,No,One year,No,Bank transfer (automatic),Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
84,0135-NMXAP,12,89.75,1052.4,2,Female,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
85,0136-IFMYD,69,109.95,7634.25,1,Male,1,Yes,No,Two year,Yes,Electronic check,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
86,0137-OCGAB,1,80.2,80.2,2,Female,0,No,No,Month-to-month,Yes,Mailed check,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
87,0137-UDEUO,3,19.85,63.75,2,Female,0,No,No,Month-to-month,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
88,0139-IVFJG,2,90.35,190.5,1,Female,0,Yes,No,Month-to-month,No,Electronic check,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
89,0141-YEAYS,27,86.45,2401.05,1,Female,1,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
90,0142-GVYSN,26,20.3,511.25,1,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
91,0147-ESWWR,39,101.25,3949.15,1,Female,1,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
92,0148-DCDOS,25,94.7,2362.1,2,Male,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
93,0151-ONTOV,1,70.9,70.9,2,Female,0,No,No,Month-to-month,No,Mailed check,Yes,No,Fiber optic,No,No,No,No,No,No
94,0156-FVPTA,22,54.2,1152.7,2,Male,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,No,DSL,Yes,No,No,Yes,No,No
95,0164-APGRB,72,114.9,8496.7,1,Female,0,No,No,Two year,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
96,0164-XAIRP,24,19.55,470.2,1,Female,0,No,No,Two year,Yes,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
97,0168-XZKBB,19,86.85,1564.4,1,Female,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
98,0174-QRVVY,71,25.35,1847.55,1,Male,0,Yes,Yes,Two year,No,Credit card (automatic),Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
99,0177-PXBAT,33,109.9,3694.7,1,Male,1,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
100,0178-CIIKR,3,19.95,58,1,Female,0,No,No,Month-to-month,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
101,0178-SZBHO,47,87.2,4017.45,1,Male,0,Yes,Yes,Month-to-month,No,Electronic check,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
102,0181-RITDD,62,108.15,6825.65,1,Male,0,Yes,Yes,Two year,No,Mailed check,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
103,0186-CAERR,71,116.3,8309.55,1,Male,0,No,No,One year,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
104,0187-QSXOE,7,89,605.45,1,Male,1,Yes,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
105,0187-WZNAB,27,74.4,1972.35,1,Female,0,Yes,Yes,Month-to-month,No,Mailed check,Yes,No,Fiber optic,Yes,No,No,No,No,No
106,0188-GWFLE,2,20.05,33.7,1,Male,0,No,No,Month-to-month,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
107,0191-EQUUH,25,35.05,844.45,1,Female,0,No,Yes,Two year,No,Bank transfer (automatic),No,No phone service,DSL,Yes,No,No,Yes,No,No
108,0191-ZHSKZ,30,74.75,2111.3,1,Male,1,No,No,Month-to-month,Yes,Electronic check,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
109,0193-ESZXP,58,105.5,6205.5,2,Female,1,Yes,No,One year,Yes,Credit card (automatic),Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
110,0195-IESCP,10,85.25,855.3,2,Male,0,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
111,0196-JTUQI,9,75.2,633.85,1,Female,0,No,No,Month-to-month,Yes,Credit card (automatic),Yes,Yes,Fiber optic,No,No,No,No,No,No
112,0196-VULGZ,6,84.35,474.9,2,Female,1,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
113,0197-PNKNK,69,84.45,5848.6,1,Female,0,Yes,Yes,One year,No,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
114,0201-MIBOL,66,102.4,6471.85,1,Female,1,No,No,Two year,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
115,0201-OAMXR,70,115.55,8127.6,2,Female,0,No,No,One year,No,Credit card (automatic),Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
116,0203-HHYIJ,25,25.3,676.35,2,Male,0,No,No,One year,No,Bank transfer (automatic),Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
117,0206-OYVOC,46,19.25,864.2,1,Female,0,Yes,Yes,Two year,Yes,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
118,0206-TBWLC,54,114.65,6049.5,1,Female,0,Yes,No,One year,Yes,Mailed check,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
119,0207-MDKNV,15,105.1,1582.75,2,Female,0,No,No,Month-to-month,No,Electronic check,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
120,0208-BPQEJ,12,19.4,198.1,1,Female,0,Yes,Yes,Month-to-month,No,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
121,0212-ISBBF,22,50.35,1098.85,1,Female,0,No,No,Month-to-month,Yes,Electronic check,No,No phone service,DSL,No,Yes,No,No,Yes,Yes
122,0214-JHPFW,70,57.8,4039.3,1,Female,0,Yes,No,Two year,No,Bank transfer (automatic),No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
123,0215-BQKGS,30,84.3,2438.6,1,Male,0,No,No,Month-to-month,Yes,Credit card (automatic),Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
124,0218-QNVAS,71,100.55,7113.75,1,Male,0,Yes,Yes,One year,No,Bank transfer (automatic),Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
125,0219-QAERP,30,19.8,576.65,1,Male,0,Yes,No,One year,No,Credit card (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
126,0219-YTZUE,4,84.8,371.9,2,Male,0,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
127,0220-EBGCE,2,85.85,167.3,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,Yes,No,No,Yes
128,0221-NAUXK,10,19.95,219.5,1,Male,0,No,Yes,One year,Yes,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
129,0221-WMXNQ,4,75.35,273.4,1,Male,1,No,No,Month-to-month,No,Electronic check,Yes,No,Fiber optic,Yes,No,No,No,No,No
130,0222-CNVPT,52,48.8,2555.05,1,Male,1,No,No,Month-to-month,Yes,Credit card (automatic),No,No phone service,DSL,Yes,No,No,No,Yes,Yes
131,0224-HJAPT,5,47.15,223.15,2,Male,0,No,No,Month-to-month,No,Electronic check,Yes,Yes,DSL,No,No,No,No,No,No
132,0224-NIJLP,8,20.15,165.5,1,Male,0,Yes,Yes,Two year,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
133,0224-RLWWD,2,44.3,89.3,1,Female,1,No,No,Month-to-month,Yes,Electronic check,Yes,No,DSL,No,No,No,No,No,No
134,0225-ZORZP,3,84.3,235.05,1,Male,0,No,No,Month-to-month,No,Electronic check,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
135,0228-MAUWC,19,59.55,1144.6,1,Male,0,No,No,Month-to-month,No,Electronic check,Yes,Yes,DSL,No,No,Yes,Yes,No,No
136,0229-LFJAF,72,69.65,4908.25,1,Male,0,No,No,Two year,No,Bank transfer (automatic),Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
137,0230-UBYPQ,63,36.1,2298.9,1,Male,1,Yes,No,One year,No,Bank transfer (automatic),No,No phone service,DSL,Yes,No,No,Yes,No,No
138,0230-WEQUW,66,56.6,3789.2,1,Male,0,Yes,No,Two year,Yes,Bank transfer (automatic),No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
139,0231-LXVAP,1,75.9,75.9,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,No,Yes,No,No
140,0233-FTHAV,60,79.2,4765,1,Female,0,No,No,One year,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,No,No,Yes,No,No,No
141,0234-TEVTT,48,45,2196.3,1,Female,0,Yes,Yes,One year,No,Credit card (automatic),No,No phone service,DSL,Yes,No,Yes,No,No,Yes
142,0235-KGSLC,1,85.55,85.55,2,Female,0,No,No,Month-to-month,Yes,Credit card (automatic),Yes,No,Fiber optic,No,No,Yes,No,Yes,No
143,0236-HFWSV,15,93.35,1444.65,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
144,0237-YFUTL,50,109.65,5405.8,1,Female,0,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
145,0238-WHBIQ,72,89.7,6339.3,1,Male,0,Yes,Yes,Two year,No,Credit card (automatic),Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
146,0239-OXEXL,46,84.25,3847.6,1,Female,0,No,No,Month-to-month,No,Mailed check,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
147,0244-LGNFY,72,92.65,6733,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
148,0247-SLUJI,1,19.7,19.7,1,Male,0,Yes,Yes,Month-to-month,No,Mailed check,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
149,0248-IPDFW,1,50.1,50.1,1,Female,0,No,No,Month-to-month,Yes,Electronic check,Yes,Yes,DSL,No,No,No,No,No,No
150,0248-PGHBZ,67,92.45,6140.85,1,Female,1,No,No,Two year,Yes,Bank transfer (automatic),Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
151,0253-ZTEOB,48,79.65,3870.3,1,Female,0,Yes,Yes,Two year,No,Electronic check,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
152,0254-FNMCI,72,109.9,7624.2,1,Female,0,No,No,Two year,Yes,Electronic check,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
153,0254-KCJGT,52,81.4,4354.45,1,Male,0,Yes,No,One year,Yes,Credit card (automatic),Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
154,0254-WWRKD,67,50.55,3431.75,1,Female,0,Yes,Yes,One year,No,Credit card (automatic),Yes,No,DSL,No,Yes,No,No,No,No
155,0256-LTHVJ,28,81.05,2227.1,2,Female,0,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No,No,No,No,Yes
156,0257-KXZGU,32,62.45,2045.55,1,Female,0,Yes,Yes,Month-to-month,No,Bank transfer (automatic),Yes,Yes,DSL,No,Yes,Yes,No,No,No
157,0257-ZESQC,27,75.2,1929.35,2,Female,1,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Yes,No,Fiber optic,Yes,No,No,No,No,No
158,0258-NOKBL,3,90.4,268.45,1,Male,0,No,No,Month-to-month,No,Electronic check,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
159,0259-GBZSH,2,85.65,181.5,2,Male,0,No,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
160,0260-ZDLGK,9,72.9,651.4,2,Female,0,No,Yes,Month-to-month,Yes,Mailed check,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
161,0263-FJTQO,50,70.5,3486.65,1,Male,0,Yes,Yes,Two year,Yes,Credit card (automatic),Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
162,0264-CNITK,71,20.1,1389.6,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
163,0265-EDXBD,32,74.9,2303.35,2,Male,1,Yes,No,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,No,No
164,0265-PSUAE,16,100.7,1522.7,1,Female,0,Yes,Yes,Month-to-month,No,Bank transfer (automatic),Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
